time,vibrationLevel_4267,mean
2023-10-13 08:10:57.849000+00:00,0.0765,0.0765
2023-10-13 05:10:16.381000+00:00,0.0716,0.0716
2023-10-13 02:09:28.567000+00:00,0.0,0.0
2023-10-12 23:08:51.674000+00:00,0.0,0.0
2023-10-12 20:08:10.271000+00:00,0.086,0.086
2023-10-12 17:12:24.057000+00:00,0.0832,0.0832
2023-10-12 14:11:13+00:00,0.0859,0.0859
2023-10-12 11:10:03.435000+00:00,0.1023,0.1023
2023-10-12 08:08:43.088000+00:00,0.0915,0.0915
2023-10-12 05:08:06.949000+00:00,0.0924,0.0924
2023-10-12 02:07:12.540000+00:00,0.0,0.0
2023-10-11 23:11:32.104000+00:00,0.0,0.0
2023-10-11 20:10:51.897000+00:00,0.0623,0.0623
2023-10-11 17:09:58.803000+00:00,0.073,0.073
2023-10-11 14:11:42.024000+00:00,0.0817,0.0817
2023-10-11 11:11:31.719000+00:00,0.0543,0.0543
2023-10-11 08:10:24.722000+00:00,0.1232,0.1232
2023-10-11 05:09:41.073000+00:00,0.0743,0.0743
2023-10-10 23:08:19.053000+00:00,0.0,0.0
2023-10-10 20:07:48.134000+00:00,0.0791,0.0791
2023-10-10 17:11:57.857000+00:00,0.0918,0.0918
2023-10-10 14:08:53.167000+00:00,0.0985,0.0985
2023-10-10 11:10:29.739000+00:00,0.0482,0.0482
2023-10-10 08:07:03.503000+00:00,0.1188,0.1188
2023-10-10 05:11:24.786000+00:00,0.0622,0.0622
2023-10-10 02:10:35.704000+00:00,0.0,0.0
2023-10-09 23:09:50.178000+00:00,0.0,0.0
2023-10-09 20:09:23.406000+00:00,0.0567,0.0567
2023-10-09 17:08:31.812000+00:00,0.0566,0.0566
2023-10-09 11:11:02.594000+00:00,0.0766,0.0766
2023-10-09 08:10:32.044000+00:00,0.0836,0.0836
2023-10-09 02:10:58.754000+00:00,0.0,0.0
2023-10-08 23:10:23.278000+00:00,0.0,0.0
2023-10-08 20:09:52.924000+00:00,0.0,0.0
2023-10-08 17:09:26.150000+00:00,0.0,0.0
2023-10-08 14:08:54.420000+00:00,0.0,0.0
2023-10-08 11:08:23.671000+00:00,0.0,0.0
2023-10-08 08:07:42.439000+00:00,0.0,0.0
2023-10-08 05:07:11.292000+00:00,0.0,0.0
2023-10-08 02:11:35.099000+00:00,0.0,0.0
2023-10-07 23:11:09.949000+00:00,0.0,0.0
2023-10-07 20:10:38.202000+00:00,0.0,0.0
2023-10-07 17:10:07.028000+00:00,0.0,0.0
2023-10-07 14:09:36.544000+00:00,0.0,0.0
2023-10-07 11:09:05.686000+00:00,0.0,0.0
2023-10-07 08:08:34.330000+00:00,0.0,0.0
2023-10-07 05:07:57.859000+00:00,0.0,0.0
2023-10-07 02:07:26.164000+00:00,0.0,0.0
2023-10-06 23:07:01.320000+00:00,0.0,0.0
2023-10-06 20:11:36.448000+00:00,0.1226,0.1226
2023-10-06 17:08:06.562000+00:00,0.1538,0.1538
2023-10-06 14:09:38.965000+00:00,0.1106,0.1106
2023-10-06 11:10:39.835000+00:00,0.094,0.094
2023-10-06 08:10:00.031000+00:00,0.0859,0.0859
2023-10-06 05:09:15.253000+00:00,0.1085,0.1085
2023-10-06 02:08:19.097000+00:00,0.0,0.0
2023-10-05 23:07:42.861000+00:00,0.0,0.0
2023-10-05 20:07:06.067000+00:00,0.0613,0.0613
2023-10-05 17:08:45.200000+00:00,0.0713,0.0713
2023-10-05 14:08:00.634000+00:00,0.0622,0.0622
2023-10-05 11:09:37.586000+00:00,0.0734,0.0734
2023-10-05 08:07:37.338000+00:00,0.0878,0.0878
2023-10-05 05:09:22.977000+00:00,0.045,0.045
2023-10-05 02:08:25.792000+00:00,0.0,0.0
2023-10-04 23:07:54.531000+00:00,0.0,0.0
2023-10-04 20:07:08.859000+00:00,0.0,0.0
2023-10-04 17:06:43.529000+00:00,0.0128,0.0128
2023-10-04 14:05:18.058000+00:00,0.0134,0.0134
2023-10-04 11:08:30.403000+00:00,0.0775,0.0775
2023-10-04 08:07:02.360000+00:00,0.092,0.092
